State abbreviation,State name,Agency type,FY,Average hours worked per week,Average hourly wage,Average Weekly Wages,Average time to close months no employment,Average time to close months with employment,Employed at application,Employment includes medical insurance,Number closed no employment,Number closed with employment,Number served,Primary support is own income at application,Primary support is own income at closure,Significant disability served,Significant disability employed,Sum costserv no empl,Sum costserv with empl,Total hours,Total wage,Works more than 35 hrs week,Works more than 35 hrs week SGA,Exited as applicant,Exited during or after_trial work,Exited without employment after IPE,Exited from OOS waiting list,Exited without employment after eligibility,Employment outcomes meeting SGA
AK,Alaska,Combined,2002,32.41,9.61,311.46,30.8,33.5,55,38,89,111,200,28,96,162,92,"525,746","723,718","3,598","1,067",68,68,0,0,0,0,0,0
AK,Alaska,Combined,2003,30.38,10.96,332.96,26.5,32.3,56,58,73,122,195,29,111,170,104,"278,182","776,203","3,706","1,337",68,67,0,0,0,0,0,0
AK,Alaska,Combined,2004,32.41,9.84,318.91,34.5,32.7,66,34,68,86,154,32,98,132,76,"334,224","613,437","2,787",847,55,55,0,0,0,0,0,0
AK,Alaska,Combined,2005,31.27,11.11,347.41,27.4,34.8,76,46,61,128,189,45,142,170,116,"235,024","1,329,353","4,002","1,422",75,75,0,0,0,0,0,0
AK,Alaska,Combined,2006,28.17,10.28,289.59,31.1,30.1,70,39,86,115,201,42,112,183,103,"413,158","874,514","3,240","1,183",52,50,30,5,0,0,134,69
AK,Alaska,Combined,2007,27.87,11.22,312.70,25.9,28.2,57,25,92,119,211,35,102,192,106,"414,292","761,693","3,317","1,336",49,48,33,3,0,0,87,62
AK,Alaska,Combined,2008,30.5,11.57,352.89,28.5,29.1,64,44,70,127,197,29,125,181,114,"324,238","908,213","3,873","1,470",71,71,32,3,0,0,97,87
AK,Alaska,Combined,2009,28.18,10.74,302.65,33.7,25,55,27,88,104,192,33,101,181,100,"500,931","519,397","2,931","1,116",40,40,39,2,0,0,106,65
AK,Alaska,Combined,2010,27.13,10.8,293.00,29,25.4,60,23,69,104,173,41,99,166,99,"357,231","608,760","2,822","1,124",38,38,48,3,0,0,127,58
AK,Alaska,Combined,2011,29.4,11.28,331.63,30.4,25.7,74,35,67,123,190,52,124,181,117,"353,765","723,665","3,616","1,388",55,53,33,9,0,0,148,81
AK,Alaska,Combined,2012,27.41,11.04,302.61,30.5,25,65,24,71,145,216,46,116,206,139,"454,318","883,610","3,974","1,601",58,58,38,10,0,0,141,145
AK,Alaska,Combined,2013,28.62,11.13,318.54,28.1,26,59,26,87,139,226,35,119,215,131,"329,865","991,512","3,978","1,547",55,55,34,9,0,0,111,139
AK,Alaska,Combined,2014,27.02,12.29,332.08,27.3,24.1,71,24,99,140,239,41,131,232,137,"395,918","954,408","3,783","1,720",54,54,41,7,0,0,105,140
AL,Alabama,Combined,2013,32.61,9.25,301.64,50.9,36.1,313,255,"1,423","2,272","3,695",101,"3,814","2,679","1,519","5,863,734","12,653,953","74,092","21,026","1,219","1,219",715,5,0,0,728,"2,271"
AL,Alabama,Combined,2014,32.22,9.18,295.78,48.2,34.9,219,231,"1,015","2,233","3,248",84,"2,533","2,349","1,542","3,154,035","13,254,511","71,942","20,497","1,090","1,090",636,4,0,0,582,"2,231"
AL,Alabama,Combined,2012,32.09,9.09,291.70,41.2,36.4,273,284,"1,397","2,290","3,687",112,"3,589","2,823","1,682","2,554,378","11,651,536","73,495","20,823","1,180","1,180",686,0,0,0,725,"2,287"
AL,Alabama,Combined,2011,31.92,8.95,285.68,39.2,35.9,261,288,"1,751","2,249","4,000",115,"3,868","3,269","1,844","3,472,654","10,087,475","71,796","20,136","1,137","1,123",653,0,0,0,494,"1,301"
AL,Alabama,Combined,2010,31.36,9.17,287.57,53.3,36.8,700,388,"7,298","2,504","9,802",267,"5,047","8,405","2,127","15,702,942","10,774,929","78,535","22,969","1,197","1,182",755,5,0,0,942,"1,376"
AL,Alabama,Combined,2009,31.33,8.61,269.75,41.2,33.4,378,471,"1,093","3,007","4,100",174,"2,768","3,594","2,623","2,575,508","10,062,719","94,219","25,885","1,423","1,409",575,0,0,0,470,"1,590"
AL,Alabama,Combined,2008,32.87,8.25,271.18,45.6,32.7,459,650,"1,384","3,866","5,250",207,"3,570","4,586","3,358","2,941,014","14,163,469","127,080","31,879","2,155","2,040",672,1,0,0,485,"2,224"
AL,Alabama,Combined,2007,33.07,7.85,259.60,42.1,33.2,439,681,"1,487","3,889","5,376",204,"3,553","4,746","3,416","3,496,993","15,055,373","128,614","30,531","2,220","2,083",584,0,0,0,332,"2,265"
AL,Alabama,Combined,2006,33.69,7.65,257.73,39.9,32.2,507,812,"1,712","4,016","5,728",225,"3,637","5,135","3,555","3,036,378","12,418,062","135,287","30,729","2,369","2,230",730,4,0,0,436,"2,439"
AL,Alabama,Combined,2005,33.41,7.56,252.58,40.4,32.2,449,815,"1,330","3,981","5,311",206,"3,782","4,735","3,499","3,099,494","12,428,251","133,000","30,104","2,341","2,221",0,0,0,0,0,0
AL,Alabama,Combined,2004,33.34,7.22,240.71,40.2,31.1,447,739,"1,524","3,853","5,377",213,"3,863","4,826","3,418","2,710,612","11,171,215","128,477","27,804","2,205","2,114",0,0,0,0,0,0
AL,Alabama,Combined,2003,33.54,7.1,238.13,37.2,29.9,508,763,"1,302","3,738","5,040",259,"3,486","4,494","3,285","3,052,941","10,113,113","125,378","26,553","2,201","2,100",0,0,0,0,0,0
AL,Alabama,Combined,2002,34,7.06,240.04,36.3,30.4,465,883,"1,246","3,779","5,025",247,"3,597","4,459","3,306","3,187,005","10,133,732","128,492","26,693","2,305","2,222",0,0,0,0,0,0
AR,Arkansas,General,2002,37.74,9.15,345.32,37.7,43,420,313,518,868,"1,386",199,862,"1,202",772,"767,632","3,427,314","32,760","7,943",741,735,0,0,0,0,0,0
AR,Arkansas,Blind,2002,31.86,7.59,241.82,35,58.4,24,11,15,29,44,10,25,39,28,"36,090","161,632",924,220,17,8,0,0,0,0,0,0
AR,Arkansas,General,2003,38.25,9.64,368.73,37,46.2,444,494,790,"1,008","1,798",190,"1,075","1,656",930,"1,405,304","3,501,372","38,701","9,751",896,892,0,0,0,0,0,0
AR,Arkansas,Blind,2003,35.77,8.93,319.43,34.1,43.3,23,12,16,30,46,14,35,46,30,"22,541","308,007","1,073",268,25,13,0,0,0,0,0,0
AR,Arkansas,Blind,2005,28.62,6.27,179.45,54.2,55,19,2,23,26,49,9,25,49,26,"138,070","142,248",744,163,14,4,0,0,0,0,0,0
AR,Arkansas,General,2005,37.04,9.35,346.32,45.2,41.7,467,417,552,"1,046","1,598",166,"1,135","1,433",929,"964,350","3,461,398","38,741","9,778",847,841,0,0,0,0,0,0
AR,Arkansas,Blind,2004,32.29,7.98,257.67,40.6,54.2,27,17,25,35,60,10,30,60,35,"140,044","413,779","1,130",279,24,14,0,0,0,0,0,0
AR,Arkansas,General,2004,37.58,9.39,352.88,39.4,44.8,537,465,780,"1,091","1,871",193,"1,072","1,610",946,"1,250,163","4,038,504","41,004","10,244",921,916,0,0,0,0,0,0
AR,Arkansas,Blind,2006,31.16,9.17,285.74,38.8,57.6,14,7,26,25,51,6,22,51,25,"114,909","356,821",779,229,17,12,5,0,1,0,6,13
